Contract_ID,Provider_Entity,Customer_ID,Customer_Name
1,"ООО ""Басфор""",1,"АО ""БТК Групп"""
2,ИП Осотова,2,АО «ЦКБМ»
3,"ООО ""Басфор""",3,ООО Ле Монлид
4,"ООО ""Басфор""",4,ТОП ИНДАСТРИАЛ СЕРВИСИЗ
5,"ООО ""Басфор""",5,"ООО ГК ""Дарница"""
6,"ООО ""Басфор""",6,ООО ТЕХМАШ ГРУПП
7,ИП Осотова,7,"ООО ""Хлебный дом"""
8,"ООО ""Басфор""",8,ПИТ-ПРОДУКТ
9,ИП Ерошенко,9,Логистик Систем
10,"ООО ""Басфор""",10,Интернет-Решения Бугры
11,"ООО ""Басфор""",11,Интернет-Решения
12,"ООО ""Басфор""",12,Интернет-Решения (ПСЦ Колпино)
13,ИП Осотов Иван,9,Логистик Систем
14,"ООО ""Басфор""",13,ООО БРЛ
15,"ООО ""Басфор""",14,ОЗОН Комьюнити
16,"ООО ""Басфор""",15,Ай Би Фэсилити
17,ИП Осотова,16,"ООО ""ММЦ"""
18,"ООО ""Басфор""",17,СК-Сервис
19,"ООО ""Басфор""",7,"ООО ""Хлебный дом"""
20,"ООО ""Басфор""",18,Интернет-Решения ФФ Шушары
21,"ООО ""Басфор""",19,Интернет-Решения Волхонское
22,"ООО ""Басфор""",20,
23,ИП Осотов Иван,21,ООО Кадры 24
24,"ООО ""Басфор""",22,Интернет-Решения ЛЦ Горское
25,ИП Осотова,23,СИБ ТРЕЙД
26,"ООО ""Басфор""",24,Сервис Плюс
27,"ООО ""Басфор""",25,ООО НТК
28,ИП Осотова,26,Оглаенд Систем
29,ИП Осотова,27,СиДжей Равиолло Рус
30,"ООО ""Басфор""",28,"ООО ""РЕЗЕРВ"""
31,"ООО ""Басфор""",29,СМУ-2
32,"ООО ""Басфор""",30,ООО Теплореконструкция
33,"ООО ""Басфор""",31,УК АСК Групп
34,ИП Осотов Иван,32,ООО Формация
35,ИП Ерошенко,33,Фокус
36,ИП Осотов Иван,34,Сатурн
37,ИП Осотов Иван,35,ООО Северные Сети
38,"ООО ""Басфор""",36,Интернет-Решения (КГТ Волхонское)
39,"ООО ""Басфор""",37,Один
40,"ООО ""Басфор""",38,ПАО «Россети Ленэнерго»
41,"ООО ""Басфор""",39,ООО «Тим - Профи»
42,ИП Осотова,40,Петрович
43,ИП Осотов Иван,41,ООО РЕСПЕКТ
44,"ООО ""Басфор""",42,ООО Аюна
45,"ООО ""Басфор""",43,ООО ЛСР. Строительство-СЗ
46,ИП Осотов Иван,44,НАО Перинт
47,ИП Осотова,45,ПАО Сбербанк
48,ИП Ерошенко,46,ИП Грушевский Никита Сергеевич
49,ИП Ерошенко,47,ИП Дмитренко Александр Викторович
50,ИП Ерошенко,48,ТИС
51,"ООО ""Басфор""",49,ФГУП ФЭО
52,"ООО ""Басфор""",50,АО АРВИАЙ (РАШЕН ВЕНЧУР ИНВЕСТМЕНТС)
53,ИП Осотов Иван,51,ООО Автотранспортные технологии
54,"ООО ""Басфор""",52,"ООО МСК ""БЛ ГРУПП"""
55,ИП Осотов Иван,53,ООО МАРУСЯ
56,ИП Ерошенко,54,Бабина и КО
57,ИП Осотов Иван,55,"ООО ""Би.Си.Си."""
58,ИП Осотов Иван,56,ООО ЕвроТек
59,ИП Осотов Иван,57,ООО АБ Инжиниринг
60,"ООО ""Басфор""",58,ООО Стоун Айленд
61,"ООО ""Басфор""",59,ООО ТИС
62,"ООО ""Басфор""",60,"Скоростные катера ""Мобиле Групп"""
63,ИП Осотова,61,ООО «АртСтройДок»
64,ИП Ерошенко,62,ИП Антипенко Юлия Товьевна
65,"ООО ""Басфор""",63,ООО ЛекСитиСтрой
66,ИП Осотова,64,ООО ЧОО РН БЕЗОПАСНОСТЬ
67,"ООО ""Басфор""",65,"ООО ""Текманн"""
68,"ООО ""Басфор""",66,АО ЮЗ ТЭЦ
69,ИП Осотов Иван,67,ООО ВЕСТА РЕГИОНЫ
70,ИП Осотов Иван,68,ИП Добровольский
71,ИП Осотова,68,ИП Добровольский
72,"ООО ""Басфор""",69,Интернет-Решения ДС Волхонский
73,"ООО ""Басфор""",70,Интернет-Решения Раум Бугры
74,"ООО ""Басфор""",71,АПГ Восточная Европа
75,ИП Ерошенко,51,ООО Автотранспортные технологии
76,"ООО ""Басфор""",72,ООО Хонор
77,"ООО ""Басфор""",73,Интернет-Решения РЦ Бугры
78,"ООО ""Басфор""",74,НПО Промет
79,ИП Осотов Николай,9,Логистик Систем
80,"ООО ""Басфор""",75,Интернет-Решения ЛЦ Шушары
81,ИП Осотов Иван,76,ПанБалтСервис
82,ИП Ерошенко,77,Гостинн Сервис (ПанБалтСервис)
83,ИП Осотова,78,ООО Т2 Мобайл
84,ИП Осотов Иван,79,ООО УК 55
85,ИП Ерошенко,80,"ООО ""Ресторанная Служба"" 8-962-720-63-65"
86,"ООО ""Басфор""",81,Интернет-Решения ЛЦ Парголово
87,ИП Осотов Иван,82,АНО ДПО «РАТМЕД»
88,"ООО ""Басфор""",83,Грин Строй
89,ИП Осотова,84,ТрансСервисГрупп
90,ИП Осотов Иван,85,ИП Чумилин
