Template_ID,Customer_ID,Route_Name,Start_Point,End_Point,Route_Type,Pickup_Time,Departure_Time,Capacity,Price_Excl_VAT
1,1,БТК (пос. Романовка),"пос. Романовка, 1а",г.Всеволожск ул. Ленинградская д.14/1,Прямой,05:30:00,05:40:00,50.0,2725.0
2,1,БТК (ш. Революции),"ш. Революции, д.52",г.Всеволожск ул. Ленинградская д.14/1,Прямой,05:50:00,06:00:00,50.0,4000.0
3,1,БТК (пос. Романовка),"пос. Романовка, 1а",г.Всеволожск ул. Ленинградская д.14/1,Прямой,06:00:00,06:10:00,50.0,2725.0
4,2,АО «ЦКБМ»,"Пр. Стачек, 47Ш","проспект Стачек, 47Л (до 8:20)",Прямой,06:10:00,06:20:00,16.0,5500.0
5,3,ЛеманаПро (Гатчина),"Гатчина, улица Чехова, 14Ас3","Московское ш., 177А",1/2 круга,06:10:00,06:20:00,20.0,3350.0
6,4,Оптоган,Ст.м. Проспект Ветеранов,"Таллинское ш., 206",Прямой,06:10:00,06:20:00,20.0,3300.0
7,5,Коломенский (ЖК Солнечный город),"Пр. Ветеранов, 214","Пушкин, Тиньков переулок, 7Д",1/2 круга,06:15:00,06:25:00,15.0,3500.0
8,6,ТМГ,"ул., Тельмана 8","Промышленный район, Центральное отделение, 63",Прямой,06:20:00,06:25:00,50.0,5000.0
9,5,Коломенский,"ул. Салова, 29","Пушкин, Тиньков переулок, 7Д",1/2 круга,06:20:00,06:30:00,15.0,3000.0
10,7,Муринская - Хлебный дом - Коломенское,"Ул. Ольги Форш, 10","Тиньков переулок, 7Д",1/2 круга,06:20:00,06:30:00,19.0,6600.0
11,8,ПИТ-ПРОДУКТ (ст.м. Московская),"Пр. Большевиков, д.1","ул. Понссе, 3",1/2 круга,06:20:00,06:30:00,50.0,3300.0
12,9,OZON Большевиков,"Большевиков, д.1","Ст.м.Дыбенко - Московское ш., 145с10",1/2 круга,06:20:00,06:30:00,19.0,3000.0
13,9,OZON Большевиков,"Большевиков, д.1","Ст.м.Дыбенко - Московское ш., 145с10",1/2 круга,06:20:00,06:30:00,50.0,3900.0
14,10,OZON Бугры (ст.м. Беговая),Ст.м. Беговая,"Бугры, Шоссейная ул., 50к1",1/2 круга,06:20:00,06:30:00,19.0,2500.0
15,10,OZON Бугры (ст.м. Беговая),Ст.м. Беговая,"Бугры, Шоссейная ул., 50к1",1/2 круга,06:20:00,06:30:00,35.0,3500.0
16,11,"OZON Гатчина (Штат Софийская, 118)","Гатчина, Варшавский вокзал","Софийская, 118 к.4 стр.1",1/2 круга,06:20:00,06:30:00,20.0,3100.0
17,11,"OZON Гатчина (Штат Софийская, 118)","Гатчина, Варшавский вокзал","Софийская, 118 к.4 стр.1",1/2 круга,06:20:00,06:30:00,35.0,5250.0
18,12,OZON ПСЦ Колпино (Кировск),"г. Кировск, Театральная площадь","Колпинское ш., 135с2",1/2 круга,06:20:00,06:30:00,20.0,5000.0
19,9,OZON Тосно (ФФ),"г. Тосно, Боярова 2А","Московское ш., 143",Прямой,06:20:00,06:30:00,19.0,6000.0
20,13,Бристоль (пос. Сельцо),Пос. Сельцо (Волосовский район),"Волхонское ш., 3к2",Прямой,06:35:00,06:40:00,19.0,6000.0
21,1,БТК (пос. Романовка),"пос. Романовка, 1а",г.Всеволожск ул. Ленинградская д.14/1,Прямой,06:30:00,06:40:00,50.0,2725.0
22,5,Коломенский (Колпино),"Колпино, Привокзальная площадь","Пушкин, Тиньков переулок, 7Д",1/2 круга,06:30:00,06:40:00,15.0,2500.0
23,5,Коломенский (Ст.м. Московская),"Ст.м. Московская, Демонстрационный проезд","Пушкин, Тиньков переулок, 7Д",1/2 круга,06:30:00,06:40:00,50.0,4000.0
24,7,Коломенское - Хлебный дом (Смоленская),"Смоленская улица, 18А","Пушкин, Тиньков переулок, 7Д",Прямой,06:30:00,06:40:00,19.0,4500.0
25,7,Хлебный дом (ст.м. Ладожская),"Заневский пр., 42 - Заневский пр., 32","Смоленская улица, 6 (остановка)",1/2 круга,06:35:00,06:40:00,15.0,2500.0
26,10,OZON Бугры (Заневский),"Заневский пр.,32к2","Бугры, Шоссейная ул., 50к1",1/2 круга,06:30:00,06:40:00,19.0,4000.0
27,10,OZON Бугры (Янино-1),"Янино-1, Шоссейная ул., 23","Бугры, Шоссейная ул., 50к1",Прямой,06:30:00,06:40:00,19.0,4700.0
28,10,OZON Бугры (Янино-1),"Янино-1, Шоссейная ул., 23","Бугры, Шоссейная ул., 50к1",Прямой,06:30:00,06:40:00,35.0,6900.0
29,9,OZON Гатчина (ФФ),"Гатчина, Балтийский вокзал","Московское ш., 143",Прямой,06:25:00,06:40:00,20.0,3700.0
30,10,OZON Комендантский,Ст.м. Комендантский пр.,"Бугры, Шоссейная ул., 50к1",Прямой,06:30:00,06:40:00,19.0,4500.0
31,10,OZON Комендантский,Ст.м. Комендантский пр.,"Бугры, Шоссейная ул., 50к1",1/2 круга,06:30:00,06:40:00,19.0,
32,10,OZON Комендантский,Ст.м. Комендантский пр.,"Бугры, Шоссейная ул., 50к1",Прямой,06:30:00,06:40:00,35.0,6000.0
33,10,OZON Комендантский,Ст.м. Комендантский пр.,"Бугры, Шоссейная ул., 50к1",1/2 круга,06:30:00,06:40:00,50.0,3500.0
34,14,OZON Комьюнити Минеральная,"ул. Минеральная, 29","Софийская, 118 к4 стр.1",1/2 круга,06:20:00,06:40:00,50.0,4500.0
35,12,OZON ПСЦ Колпино (м. Большевиков),"улица Коллонтай, 21к1","Колпинское ш., 135с2",1/2 круга,06:30:00,06:40:00,55.0,3995.0
36,12,OZON ПСЦ Колпино (м. Ладожская),Ст.м. Ладожская,"Колпинское ш., 135с2",1/2 круга,06:30:00,06:40:00,20.0,3150.0
37,15,Ай Би Фэсилити,Ст.м.Беговая,"Лахтинский просп., 83, корп. 2 - Лахта",Прямой,06:20:00,06:45:00,20.0,2083.333333333333
38,15,Ай Би Фэсилити,Ст.м.Беговая,"Лахтинский просп., 83, корп. 2 - Лахта",Прямой,06:25:00,06:45:00,50.0,6631.15
