Табличка / направление,Начало маршрута,Окончание маршрута,Тип рейса
OZON Большевиков,"Большевиков, д.1","Ст.м.Дыбенко - Московское ш., 145с10",1/2 круга
OZON Большевиков,"Московское ш., 145с10","Ст.м.Дыбенко - Большевиков, д.1",1/2 круга
OZON Большевиков,"Московское ш., 145с10","Ст.м.Дыбенко - Большевиков, д.1",Прямой
OZON Большевиков,"Большевиков, д.1","Ст.м.Дыбенко - Московское ш., 145с10",Прямой
OZON Большевиков (ФФ),"Большевиков, д.1","Ст.м.Дыбенко - Московское ш., 141/143",1/2 круга
OZON Большевиков (ФФ),"Московское ш., 141/143","Ст.м.Дыбенко - Большевиков, д.1",1/2 круга
"OZON Большевиков (Штат Софийская, 118)",Ст.м. Проспект Большевиков,"Софийская, 118 к.4 стр.1",1/2 круга
"OZON Большевиков (Штат Софийская, 118)","Софийская, 118 к.4 стр.1",Ст.м. Проспект Большевиков,1/2 круга
OZON Бугры (Всеволожск),"Всеволожск, Колтушское шоссе, 39Б","Бугры, Шоссейная ул., 50к1",1/2 круга
OZON Бугры (Всеволожск),"Бугры, Шоссейная ул., 50к1","Всеволожск, Колтушское шоссе, 39Б",1/2 круга
OZON Бугры (Заневский),"Заневский пр.,32к2","Бугры, Шоссейная ул., 50к1",1/2 круга
OZON Бугры (Заневский),"Бугры, Шоссейная ул., 50к1","Заневский пр.,32к2",1/2 круга
OZON Бугры (Цветной город),"Васнецовский проспект, 28","Бугры, Шоссейная ул., 50к1",1/2 круга
OZON Бугры (Цветной город),"Бугры, Шоссейная ул., 50к1","Васнецовский проспект, 28",1/2 круга
OZON Бугры (Янино-1),"Янино-1, Шоссейная ул., 23","Бугры, Шоссейная ул., 50к1",Прямой
OZON Бугры (Янино-1),"Бугры, Шоссейная ул., 50к1","Янино-1, Шоссейная ул., 32",Прямой
OZON Бугры (ст.м. Беговая),Ст.м. Беговая,"Бугры, Шоссейная ул., 50к1",1/2 круга
OZON Бугры (ст.м. Беговая),"Бугры, Шоссейная ул., 50к1",Ст.м. Беговая,1/2 круга
OZON Бугры (ст.м. Девяткино),Ст.м. Девяткино,"Бугры, Шоссейная ул., 50к1",1/2 круга
OZON Бугры (ст.м. Девяткино),"Бугры, Шоссейная ул., 50к1",Ст.м. Девяткино,1/2 круга
OZON Бугры (ст.м. Девяткино),Ст.м. Девяткино,"Бугры, Шоссейная ул., 50к1",Прямой
OZON Бугры (ст.м. Девяткино),"Бугры, Шоссейная ул., 50к1",Ст.м.Девяткино,Прямой
OZON Бугры (ст.м. Девяткино),"Бугры, Шоссейная ул., 50к1",Ст.м. Девяткино,Прямой
OZON Бугры (ст.м. Дыбенко),Ст.м. Дыбенко,"Бугры, Шоссейная ул., 50к1",1/2 круга
OZON Бугры (ст.м. Дыбенко),"Бугры, Шоссейная ул., 50к1",Ст.м. Дыбенко,1/2 круга
OZON Бугры (ст.м. Дыбенко),Ст.м. Дыбенко,"Бугры, Шоссейная ул., 50к1",Прямой
OZON Бугры (ст.м. Дыбенко),"Бугры, Шоссейная ул., 50к1",Ст.м. Дыбенко,Прямой
OZON Ветеранов,Ст.м. Проспект Ветеранов,"Московское ш., 145с10",1/2 круга
OZON Ветеранов,"Московское ш., 145с10",Ст.м. Проспект Ветеранов,1/2 круга
OZON Ветеранов,"Московское ш., 145с10",Ст.м. Проспект Ветеранов,Прямой
OZON Ветеранов,Ст.м. Ветеранов,"Московское ш., 145с10",Прямой
OZON Ветеранов,Ст.м. Проспект Ветеранов,"Московское ш., 145с10",Прямой
OZON Ветеранов (ПСЦ Софийская),"Дачный пр., 23к1","Софийская, 118 к.4 стр.1",Прямой
OZON Гатчина,"Московское ш., 145с10","Гатчина, Варшавский вокзал",Прямой
OZON Гатчина,"Гатчина, Варшавский вокзал","Московское ш., 145с10",Прямой
OZON Гатчина (ФФ),"Гатчина, Балтийский вокзал","Московское ш., 143",Прямой
OZON Гатчина (ФФ),"Московское ш., 143","Гатчина, Балтийский вокзал",Прямой
"OZON Гатчина (Штат Софийская, 118)","Гатчина, Варшавский вокзал","Софийская, 118 к.4 стр.1",1/2 круга
"OZON Гатчина (Штат Софийская, 118)","Софийская, 118 к.4 стр.1","Гатчина, Варшавский вокзал",1/2 круга
OZON Дунайская (ФФ Шушары),Загребский бульвар 23 к.1,"Московское ш., 141-143",Прямой
OZON Дыбенко (ФФ),"ул. Дыбенко, 27к4","Московское ш., 141/143",1/2 круга
OZON Дыбенко (ФФ),Ст.м. Дыбенко,"Московское ш.,143",1/2 круга
OZON Дыбенко (ФФ),"Московское ш., 141/143",Ст.м.Дыбенко,1/2 круга
OZON Дыбенко (ФФ),"Московское ш., 143","ст.м.Дыбенко - Большевиков, д.1",1/2 круга
OZON Дыбенко (ФФ),Ст.м. Дыбенко,"Московское ш., 143",1/2 круга
OZON Дыбенко (ФФ),"Московское ш., 143",Ст.м. Дыбенко,1/2 круга
OZON КГТ Волхонское (Ст.м. Ветеранов),"Пр. Ветеранов, 21","Волхонское шоссе, 108с5",1/2 круга
OZON КГТ Волхонское (Ст.м. Ветеранов),"Пр. Ветеранов, 23","Волхонское шоссе, 108с5",1/2 круга
OZON КГТ Волхонское (Ст.м. Ветеранов),"Волхонское шоссе, 108с5","бульвар Новаторов, 83А",1/2 круга
OZON КГТ Волхонское (Ст.м. Ветеранов),"Волхонское шоссе, 108с5","бульвар Новаторов, 83А",Прямой
OZON Комендантский,Ст.м. Комендантский пр.,"Бугры, Шоссейная ул., 50к1",1/2 круга
OZON Комендантский,"Бугры, Шоссейная ул., 50к1",Ст.м. Комендантский пр.,1/2 круга
OZON Комендантский,Ст.м. Комендантский пр.,"Бугры, Шоссейная ул., 50к1",Прямой
OZON Комендантский,"Бугры, Шоссейная ул., 50к1",Ст.м. Комендантский пр.,Прямой
OZON Комьюнити Заневский,"Заневский пр., 32к2","Софийская, 118 к4 стр.1",1/2 круга
OZON Комьюнити Заневский,"Софийская, 118 к4 стр.1","Заневский пр., 32к2",1/2 круга
OZON Комьюнити Минеральная,"ул. Минеральная, 29","Софийская, 118 к4 стр.1",1/2 круга
OZON Комьюнити Минеральная,"Софийская, 118 к4 стр.1","ул. Минеральная, 29",1/2 круга
"OZON Красноармейская (Штат Софийская, 118)","Софийская, 118 к.4 стр.1","2-я Красноармейская ул., 1",1/2 круга
"OZON Красноармейская (Штат Софийская, 118)","2-я Красноармейская ул., 1","Софийская, 118 к.4 стр.1",1/2 круга
"OZON Красноармейская (Штат Софийская, 118)","2-я Красноармейская ул., 1","Софийская, 118 к.4 стр.1",Прямой
"OZON Красноармейская (Штат Софийская, 118)","Софийская, 118 к.4 стр.1","2-я Красноармейская ул., 1",Прямой
OZON Купчино,Ст.м. Купчино,"Московское ш., 145с10",1/2 круга
OZON Купчино,"Московское ш., 145с10",Ст.м. Купчино,1/2 круга
OZON Купчино,"Московское ш., 145с10",Ст.м. Купчино,Прямой
OZON Купчино,Ст.м. Купчино,"Московское ш., 145с10",Прямой
OZON Купчино (ФФ),"Московское ш., 143",Ст.м. Купчино - ст.м. Дунайская,Прямой
OZON Купчино (дети),Ст.м. Купчино,"Московское ш., 145с10",Прямой
OZON Купчино (дети),"Московское ш., 145с10",Ст.м. Купчино,Прямой
OZON ЛЦ Волхонское (Горелово),"Красносельское ш., 2к2","Волхонское шоссе, 108",1/2 круга
OZON ЛЦ Волхонское (Горелово),"Волхонское шоссе, 108","Красносельское ш., 2к2",1/2 круга
OZON ЛЦ Волхонское (Горелово),"Волхонское шоссе, 108","Красносельское ш., 2к2",Прямой
OZON ЛЦ Волхонское (Красное село),"Красное село, проспект Ленина, 108","Волхонское шоссе, 108",1/2 круга
OZON ЛЦ Волхонское (Красное село),"Волхонское шоссе, 108","Красное село, проспект Ленина, 77А",1/2 круга
OZON ЛЦ Волхонское (Стрельна),"Стрельна, Фронтовая улица, 10Б","Волхонское шоссе, 108с2",1/2 круга
OZON ЛЦ Волхонское (Стрельна),Ветеранов 183,"Волхонское шоссе, 108с2",1/2 круга
OZON ЛЦ Волхонское (Стрельна),"Волхонское шоссе, 108с2","Стрельна, Фронтовая улица, 10Б",1/2 круга
OZON ЛЦ Волхонское (Стрельна),"Волхонское шоссе, 108с2",Ветеранов 183,1/2 круга
OZON ЛЦ Волхонское (ст.м. Ветеранов),"Бульвар Новаторов, 98В","Волхонское шоссе, 108",1/2 круга
OZON ЛЦ Волхонское (ст.м. Ветеранов),"Волхонское шоссе, 108","Бульвар Новаторов, 98В",1/2 круга
OZON ЛЦ Волхонское (ст.м. Ветеранов),Ст.м. Проспект Ветеранов,"Волхонское шоссе, 108",1/2 круга
OZON ЛЦ Волхонское (ст.м. Ветеранов),"Волхонское шоссе, 108",Ст.м. Проспект Ветеранов,1/2 круга
OZON ЛЦ Волхонское (ст.м. Ветеранов),Ст.м. Проспект Ветеранов,"Волхонское шоссе, 108с5",1/2 круга
OZON ЛЦ Волхонское (ст.м. Ветеранов),"Волхонское шоссе, 108с5",Ст.м. Проспект Ветеранов,1/2 круга
OZON ЛЦ Волхонское (ст.м. Ветеранов),"Бульвар Новаторов, 98В","Волхонское шоссе, 108",Прямой
