Client,Route_Name,Start_Point,End_Point,Route_Type,Pickup_Time,Departure_Time,Price_Excl_VAT,Capacity
АНО ДПО «РАТМЕД»,АНО ДПО «РАТМЕД»,Ст.м. Ветеранов,"территория ССК Русское Оружие, Виллозское городское поселение",Прямой,09:20:00,09:30:00,5714.29,18.0
АНО ДПО «РАТМЕД»,АНО ДПО «РАТМЕД»,"территория ССК Русское Оружие, Виллозское городское поселение",Ст.м. Ветеранов,Прямой,20:00:00,20:10:00,5714.29,18.0
"АО ""БТК Групп""",БТК (ОП Порошкино),Ст.м. Парнас,"Трасса Юкки - Кузьмолово, 7-й километр, 2",Прямой,07:50:00,08:00:00,7000.0,50.0
"АО ""БТК Групп""",БТК (ОП Порошкино),"Трасса Юкки - Кузьмолово, 7-й километр, 2",Ст.м. Парнас,Прямой,16:50:00,17:00:00,7000.0,50.0
"АО ""БТК Групп""",БТК (пос. Романовка),"пос. Романовка, 1а",г.Всеволожск ул. Ленинградская д.14/1,Прямой,05:30:00,05:40:00,2725.0,50.0
"АО ""БТК Групп""",БТК (пос. Романовка),"пос. Романовка, 1а",г.Всеволожск ул. Ленинградская д.14/1,Прямой,06:00:00,06:10:00,2725.0,50.0
"АО ""БТК Групп""",БТК (пос. Романовка),"пос. Романовка, 1а",г.Всеволожск ул. Ленинградская д.14/1,Прямой,06:30:00,06:40:00,2725.0,50.0
"АО ""БТК Групп""",БТК (пос. Романовка),г.Всеволожск ул. Ленинградская д.14/1,"пос. Романовка, 1а",Прямой,15:30:00,15:40:00,2725.0,50.0
"АО ""БТК Групп""",БТК (пос. Романовка),г.Всеволожск ул. Ленинградская д.14/1,"пос. Романовка, 1а",Прямой,15:50:00,16:00:00,2725.0,50.0
"АО ""БТК Групп""",БТК (пос. Романовка),г.Всеволожск ул. Ленинградская д.14/1,"пос. Романовка, 1а",Прямой,16:00:00,16:10:00,2725.0,50.0
"АО ""БТК Групп""",БТК (пос. Романовка),г.Всеволожск ул. Ленинградская д.14/1,"пос. Романовка, 1а",Прямой,16:20:00,16:30:00,2725.0,50.0
"АО ""БТК Групп""",БТК (пос. Романовка),г.Всеволожск ул. Ленинградская д.14/1,"пос. Романовка, 1а",Прямой,16:30:00,16:40:00,2725.0,50.0
"АО ""БТК Групп""",БТК (пос. Романовка),г.Всеволожск ул. Ленинградская д.14/1,"пос. Романовка, 1а",Прямой,16:50:00,17:00:00,2725.0,50.0
"АО ""БТК Групп""",БТК (ш. Революции),"ш. Революции, д.52",г.Всеволожск ул. Ленинградская д.14/1,Прямой,05:50:00,06:00:00,4000.0,50.0
"АО ""БТК Групп""",БТК (ш. Революции),"ш. Революции, д.52",г.Всеволожск ул. Ленинградская д.14/1,Прямой,06:50:00,07:00:00,4000.0,50.0
"АО ""БТК Групп""",БТК (ш. Революции),г.Всеволожск ул. Ленинградская д.14/1,"ш. Революции, д.52",Прямой,15:20:00,15:30:00,4000.0,50.0
"АО ""БТК Групп""",БТК (ш. Революции),г.Всеволожск ул. Ленинградская д.14/1,"ш. Революции, д.52",Прямой,15:50:00,16:00:00,4000.0,50.0
"АО ""БТК Групп""",БТК (ш. Революции),г.Всеволожск ул. Ленинградская д.14/1,"ш. Революции, д.52",Прямой,16:20:00,16:30:00,4000.0,50.0
"АО ""БТК Групп""",БТК (ш. Революции),г.Всеволожск ул. Ленинградская д.14/1,"ш. Революции, д.52",Прямой,16:50:00,17:00:00,4000.0,50.0
"АО ""БТК Групп""",БТК ОП Порошкино (ст.м. Девяткино),Ст.м. Девяткино,"Всеволожский район, трасса Юкки - Кузьмолово, 7-й километр, 19",Прямой,07:40:00,07:50:00,5000.0,19.0
"АО ""БТК Групп""",БТК ОП Порошкино (ст.м. Девяткино),"Всеволожский район, трасса Юкки - Кузьмолово, 7-й километр, 19",Ст.м. Девяткино,Прямой,16:55:00,17:05:00,5000.0,19.0
"АО ""БТК Групп""",БТК ОП Порошкино (ст.м. Парнас),Ст.м. Парнас,"Всеволожский район, трасса Юкки - Кузьмолово, 7-й километр, 19",Прямой,07:50:00,08:00:00,4500.0,19.0
"АО ""БТК Групп""",БТК ОП Порошкино (ст.м. Парнас),"Всеволожский район, трасса Юкки - Кузьмолово, 7-й километр, 19",Ст.м. Парнас,Прямой,16:55:00,17:05:00,4500.0,19.0
АО «ЦКБМ»,АО «ЦКБМ»,"Пр. Стачек, 47Ш","проспект Стачек, 47Л (до 8:20)",Прямой,06:10:00,06:20:00,5500.0,16.0
АО «ЦКБМ»,АО «ЦКБМ»,"проспект Стачек, 47Л","Корабельная улица, 5 (до 16:30)",Прямой,14:20:00,14:30:00,5500.0,16.0
АО «ЦКБМ»,АО «ЦКБМ»,"проспект Стачек, 47Л","Корабельная улица, 5 (до 17:30)",Прямой,15:20:00,15:30:00,5500.0,16.0
АО АРВИАЙ (РАШЕН ВЕНЧУР ИНВЕСТМЕНТС),ХАБ  (ст.м. Ветеранов),"Волхонское шоссе, 11, лит. Б",Ст.м. Проспект Ветеранов,Прямой,17:00:00,17:10:00,3500.0,19.0
АО АРВИАЙ (РАШЕН ВЕНЧУР ИНВЕСТМЕНТС),ХАБ  (ст.м. Ветеранов),"Волхонское шоссе, 11, лит. Б",Ст.м. Проспект Ветеранов,Прямой,18:15:00,18:25:00,3500.0,19.0
АО АРВИАЙ (РАШЕН ВЕНЧУР ИНВЕСТМЕНТС),ХАБ  (ст.м. Московская),Ст.м. Московская,"Волхонское шоссе, 11, лит. Б",1/2 круга,07:20:00,07:30:00,3750.0,35.0
АО АРВИАЙ (РАШЕН ВЕНЧУР ИНВЕСТМЕНТС),ХАБ  (ст.м. Московская),"Волхонское шоссе, 11, лит. Б",Ст.м. Московская,1/2 круга,09:10:00,09:20:00,3750.0,35.0
АО АРВИАЙ (РАШЕН ВЕНЧУР ИНВЕСТМЕНТС),ХАБ  (ст.м. Московская),Ст.м. Московская,"Волхонское шоссе, 11, лит. Б",1/2 круга,19:20:00,19:30:00,3750.0,35.0
